ticket_id,customer_id,customer_segment,complaint_type,severity,ticket_date,model_version,status,resolution_hours
TKT-00042,CUST-021,Enterprise Bank,missed_spam,medium,2025-03-26,v3.0,resolved,2.5
TKT-00043,CUST-053,Enterprise Contact Center,missed_spam,high,2025-10-06,v3.2,closed,14.6
TKT-00044,CUST-021,Enterprise Bank,missed_spam,medium,2025-08-01,v3.1,resolved,13.0
TKT-00045,CUST-001,Tier 1 Carrier,false_positive,medium,2025-12-26,v3.2,resolved,118.6
TKT-00046,CUST-001,Tier 1 Carrier,false_positive,medium,2025-11-25,v3.2,resolved,50.1
TKT-00047,CUST-064,Mid-Market Contact Center,false_positive,high,2025-05-08,v3.1,resolved,32.4
TKT-00048,CUST-085,Enterprise CPaaS,missed_spam,medium,2025-02-17,v3.0,closed,88.2
TKT-00049,CUST-096,Growth CPaaS,billing,medium,2025-03-04,v3.0,open,57.8
TKT-00050,CUST-001,Tier 1 Carrier,false_positive,medium,2025-12-14,v3.2,resolved,18.6
TKT-00051,CUST-003,Tier 1 Carrier,billing,medium,2025-01-17,v3.0,closed,9.0
TKT-00052,CUST-014,Regional Carrier,integration,high,2025-01-03,v3.0,resolved,63.6
TKT-00053,CUST-006,Tier 1 Carrier,missed_spam,medium,2025-09-06,v3.2,closed,74.2
TKT-00054,CUST-077,Enterprise CPaaS,availability,high,2025-08-28,v3.1,resolved,115.9
TKT-00055,CUST-033,Mid-Market Bank,latency,high,2025-11-18,v3.2,closed,63.3
TKT-00056,CUST-001,Tier 1 Carrier,missed_spam,low,2025-12-17,v3.2,open,108.9
TKT-00057,CUST-011,Regional Carrier,availability,high,2025-08-08,v3.1,resolved,15.7
TKT-00058,CUST-082,Enterprise CPaaS,billing,high,2025-03-10,v3.0,resolved,66.8
TKT-00059,CUST-011,Regional Carrier,missed_spam,medium,2025-03-29,v3.0,resolved,85.3
TKT-00060,CUST-007,Tier 1 Carrier,integration,medium,2025-12-14,v3.2,resolved,84.3
TKT-00061,CUST-070,Mid-Market Contact Center,missed_spam,high,2025-02-16,v3.0,resolved,94.2
TKT-00062,CUST-012,Regional Carrier,missed_spam,high,2025-02-08,v3.0,open,68.9
TKT-00063,CUST-001,Tier 1 Carrier,false_positive,high,2025-09-09,v3.2,closed,64.2
TKT-00064,CUST-001,Tier 1 Carrier,false_positive,high,2025-09-29,v3.2,closed,57.3
TKT-00065,CUST-037,Mid-Market Bank,availability,medium,2025-04-17,v3.0,open,75.9
TKT-00066,CUST-007,Tier 1 Carrier,latency,medium,2025-10-05,v3.2,closed,65.7
TKT-00067,CUST-031,Enterprise Bank,missed_spam,medium,2025-12-18,v3.2,open,53.1
TKT-00068,CUST-098,Growth CPaaS,integration,medium,2025-03-29,v3.0,closed,92.6
TKT-00069,CUST-021,Enterprise Bank,missed_spam,medium,2025-01-06,v3.0,closed,28.4
TKT-00070,CUST-007,Tier 1 Carrier,missed_spam,medium,2025-09-01,v3.2,resolved,43.0
TKT-00071,CUST-093,Growth CPaaS,availability,high,2025-10-24,v3.2,resolved,5.4
TKT-00072,CUST-074,Mid-Market Contact Center,missed_spam,high,2025-06-12,v3.1,closed,3.9
TKT-00073,CUST-005,Tier 1 Carrier,false_positive,medium,2025-11-12,v3.2,resolved,87.2
TKT-00074,CUST-001,Tier 1 Carrier,false_positive,medium,2025-09-26,v3.2,resolved,52.1
TKT-00075,CUST-028,Enterprise Bank,missed_spam,low,2025-01-24,v3.0,resolved,75.4
TKT-00076,CUST-005,Tier 1 Carrier,latency,high,2025-11-02,v3.2,resolved,86.6
TKT-00077,CUST-085,Enterprise CPaaS,availability,high,2025-09-04,v3.2,resolved,51.1
TKT-00078,CUST-079,Enterprise CPaaS,latency,low,2025-07-07,v3.1,resolved,91.2
TKT-00079,CUST-001,Tier 1 Carrier,missed_spam,high,2025-09-24,v3.2,resolved,52.7
TKT-00080,CUST-044,Mid-Market Bank,latency,critical,2025-01-18,v3.0,resolved,85.3
TKT-00081,CUST-078,Enterprise CPaaS,billing,medium,2025-02-23,v3.0,closed,46.4
TKT-00082,CUST-006,Tier 1 Carrier,missed_spam,high,2025-01-27,v3.0,resolved,52.2
TKT-00083,CUST-002,Tier 1 Carrier,false_positive,high,2025-10-17,v3.2,resolved,93.2
TKT-00084,CUST-003,Tier 1 Carrier,integration,medium,2025-06-16,v3.1,resolved,76.8
TKT-00085,CUST-029,Enterprise Bank,latency,low,2025-07-09,v3.1,open,113.6
TKT-00086,CUST-040,Mid-Market Bank,false_positive,medium,2025-09-18,v3.2,resolved,36.1
TKT-00087,CUST-049,Enterprise Contact Center,latency,medium,2025-05-10,v3.1,resolved,22.8
TKT-00088,CUST-023,Enterprise Bank,missed_spam,medium,2025-07-29,v3.1,resolved,97.9
TKT-00089,CUST-024,Enterprise Bank,false_positive,low,2025-09-24,v3.2,closed,119.4
TKT-00090,CUST-037,Mid-Market Bank,missed_spam,medium,2025-03-06,v3.0,open,83.3
TKT-00091,CUST-021,Enterprise Bank,missed_spam,medium,2025-12-31,v3.2,closed,73.2
TKT-00092,CUST-001,Tier 1 Carrier,billing,high,2025-11-05,v3.2,closed,102.8
TKT-00093,CUST-081,Enterprise CPaaS,billing,medium,2025-02-13,v3.0,resolved,99.0
TKT-00094,CUST-048,Enterprise Contact Center,availability,medium,2025-12-05,v3.2,resolved,39.0
TKT-00095,CUST-062,Mid-Market Contact Center,false_positive,critical,2025-02-19,v3.0,resolved,95.8
TKT-00096,CUST-067,Mid-Market Contact Center,availability,high,2025-04-19,v3.0,resolved,49.1
TKT-00097,CUST-043,Mid-Market Bank,latency,medium,2025-04-11,v3.0,resolved,77.5
TKT-00098,CUST-072,Mid-Market Contact Center,integration,low,2025-12-21,v3.2,resolved,9.9
TKT-00099,CUST-054,Enterprise Contact Center,missed_spam,high,2025-01-13,v3.0,resolved,117.0
TKT-00100,CUST-100,Growth CPaaS,missed_spam,high,2025-07-12,v3.1,open,16.1
TKT-00101,CUST-099,Growth CPaaS,missed_spam,medium,2025-12-05,v3.2,closed,65.0
TKT-00102,CUST-093,Growth CPaaS,billing,medium,2025-02-08,v3.0,closed,2.4
TKT-00103,CUST-002,Tier 1 Carrier,false_positive,low,2025-09-08,v3.2,resolved,112.2
TKT-00104,CUST-022,Enterprise Bank,missed_spam,critical,2025-11-20,v3.2,closed,87.8
TKT-00105,CUST-006,Tier 1 Carrier,false_positive,critical,2025-11-16,v3.2,resolved,70.1
TKT-00106,CUST-005,Tier 1 Carrier,false_positive,high,2025-10-07,v3.2,closed,82.9
TKT-00107,CUST-094,Growth CPaaS,integration,medium,2025-06-23,v3.1,open,24.9
TKT-00108,CUST-055,Enterprise Contact Center,latency,critical,2025-10-12,v3.2,resolved,114.0
TKT-00109,CUST-001,Tier 1 Carrier,integration,medium,2025-08-01,v3.1,open,76.1
TKT-00110,CUST-092,Growth CPaaS,latency,medium,2025-10-20,v3.2,closed,118.2
TKT-00111,CUST-021,Enterprise Bank,integration,high,2025-07-21,v3.1,resolved,105.8
TKT-00112,CUST-001,Tier 1 Carrier,false_positive,high,2025-10-21,v3.2,closed,118.2
TKT-00113,CUST-006,Tier 1 Carrier,false_positive,low,2025-01-28,v3.0,closed,95.0
TKT-00114,CUST-009,Regional Carrier,missed_spam,critical,2025-09-16,v3.2,closed,27.3
TKT-00115,CUST-001,Tier 1 Carrier,billing,high,2025-05-09,v3.1,open,71.4
TKT-00116,CUST-001,Tier 1 Carrier,false_positive,medium,2025-09-15,v3.2,closed,8.5
TKT-00117,CUST-001,Tier 1 Carrier,false_positive,high,2025-11-09,v3.2,resolved,103.4
TKT-00118,CUST-051,Enterprise Contact Center,billing,high,2025-02-26,v3.0,resolved,63.8
TKT-00119,CUST-008,Tier 1 Carrier,latency,medium,2025-11-13,v3.2,closed,72.7
TKT-00120,CUST-008,Tier 1 Carrier,false_positive,critical,2025-12-17,v3.2,closed,18.4
TKT-00121,CUST-047,Enterprise Contact Center,availability,high,2025-12-01,v3.2,resolved,27.6
TKT-00122,CUST-086,Enterprise CPaaS,latency,medium,2025-07-19,v3.1,resolved,109.7
TKT-00123,CUST-068,Mid-Market Contact Center,latency,high,2025-02-09,v3.0,resolved,84.1
TKT-00124,CUST-002,Tier 1 Carrier,false_positive,high,2025-11-16,v3.2,closed,72.5
TKT-00125,CUST-054,Enterprise Contact Center,integration,high,2025-11-13,v3.2,closed,98.5
TKT-00126,CUST-076,Enterprise CPaaS,integration,high,2025-03-12,v3.0,resolved,71.1
TKT-00127,CUST-001,Tier 1 Carrier,false_positive,medium,2025-12-17,v3.2,resolved,22.7
TKT-00128,CUST-012,Regional Carrier,missed_spam,medium,2025-11-08,v3.2,closed,58.7
TKT-00129,CUST-065,Mid-Market Contact Center,missed_spam,high,2025-02-02,v3.0,closed,56.5
TKT-00130,CUST-012,Regional Carrier,latency,medium,2025-06-23,v3.1,open,89.9
TKT-00131,CUST-053,Enterprise Contact Center,false_positive,high,2025-12-21,v3.2,closed,97.4
TKT-00132,CUST-002,Tier 1 Carrier,false_positive,high,2025-12-16,v3.2,open,105.7
TKT-00133,CUST-026,Enterprise Bank,false_positive,high,2025-10-03,v3.2,resolved,47.0
TKT-00134,CUST-094,Growth CPaaS,availability,high,2025-03-13,v3.0,closed,101.5
TKT-00135,CUST-052,Enterprise Contact Center,integration,low,2025-08-19,v3.1,resolved,77.1
TKT-00136,CUST-100,Growth CPaaS,availability,medium,2025-05-08,v3.1,closed,35.7
TKT-00137,CUST-054,Enterprise Contact Center,availability,high,2025-09-29,v3.2,resolved,17.1
TKT-00138,CUST-026,Enterprise Bank,billing,medium,2025-08-13,v3.1,resolved,114.9
TKT-00139,CUST-034,Mid-Market Bank,billing,medium,2025-06-27,v3.1,resolved,73.7
TKT-00140,CUST-019,Regional Carrier,false_positive,critical,2025-09-13,v3.2,closed,33.3
TKT-00141,CUST-007,Tier 1 Carrier,missed_spam,medium,2025-04-03,v3.0,open,79.5
TKT-00142,CUST-001,Tier 1 Carrier,false_positive,medium,2025-09-17,v3.2,resolved,41.4
TKT-00143,CUST-001,Tier 1 Carrier,false_positive,high,2025-11-23,v3.2,resolved,10.5
TKT-00144,CUST-001,Tier 1 Carrier,missed_spam,high,2025-08-05,v3.1,resolved,48.3
TKT-00145,CUST-069,Mid-Market Contact Center,latency,low,2025-07-24,v3.1,closed,17.7
TKT-00146,CUST-044,Mid-Market Bank,integration,medium,2025-12-06,v3.2,resolved,117.2
TKT-00147,CUST-001,Tier 1 Carrier,false_positive,critical,2025-12-04,v3.2,resolved,42.7
TKT-00148,CUST-001,Tier 1 Carrier,false_positive,medium,2025-12-18,v3.2,closed,53.5
TKT-00149,CUST-096,Growth CPaaS,integration,high,2025-01-07,v3.0,resolved,93.1
TKT-00150,CUST-001,Tier 1 Carrier,latency,medium,2025-11-20,v3.2,closed,90.5
TKT-00151,CUST-014,Regional Carrier,latency,medium,2025-07-21,v3.1,closed,37.4
TKT-00152,CUST-001,Tier 1 Carrier,missed_spam,high,2025-12-13,v3.2,open,4.7
TKT-00153,CUST-013,Regional Carrier,integration,critical,2025-05-29,v3.1,closed,76.0
TKT-00154,CUST-016,Regional Carrier,integration,high,2025-03-29,v3.0,resolved,106.2
TKT-00155,CUST-005,Tier 1 Carrier,integration,medium,2025-10-18,v3.2,closed,114.2
TKT-00156,CUST-049,Enterprise Contact Center,missed_spam,medium,2025-09-23,v3.2,resolved,57.4
TKT-00157,CUST-006,Tier 1 Carrier,availability,critical,2025-12-19,v3.2,closed,107.2
TKT-00158,CUST-006,Tier 1 Carrier,false_positive,high,2025-12-09,v3.2,resolved,16.8
TKT-00159,CUST-065,Mid-Market Contact Center,missed_spam,low,2025-07-05,v3.1,closed,30.0
TKT-00160,CUST-082,Enterprise CPaaS,billing,medium,2025-10-17,v3.2,resolved,62.9
TKT-00161,CUST-076,Enterprise CPaaS,missed_spam,medium,2025-06-07,v3.1,closed,44.3
TKT-00162,CUST-001,Tier 1 Carrier,false_positive,critical,2025-09-08,v3.2,resolved,2.9
TKT-00163,CUST-041,Mid-Market Bank,false_positive,high,2025-02-01,v3.0,resolved,7.1
TKT-00164,CUST-012,Regional Carrier,integration,high,2025-03-27,v3.0,resolved,56.3
TKT-00165,CUST-044,Mid-Market Bank,availability,medium,2025-11-25,v3.2,resolved,57.1
TKT-00166,CUST-001,Tier 1 Carrier,false_positive,medium,2025-10-31,v3.2,closed,3.1
TKT-00167,CUST-001,Tier 1 Carrier,false_positive,critical,2025-11-12,v3.2,open,14.8
TKT-00168,CUST-061,Mid-Market Contact Center,integration,medium,2025-05-16,v3.1,resolved,55.7
TKT-00169,CUST-069,Mid-Market Contact Center,integration,low,2025-11-08,v3.2,resolved,108.1
TKT-00170,CUST-100,Growth CPaaS,integration,medium,2025-09-04,v3.2,closed,114.3
TKT-00171,CUST-004,Tier 1 Carrier,false_positive,high,2025-09-12,v3.2,resolved,28.6
TKT-00172,CUST-004,Tier 1 Carrier,false_positive,critical,2025-10-11,v3.2,closed,38.0
TKT-00173,CUST-003,Tier 1 Carrier,integration,medium,2025-05-15,v3.1,closed,74.8
TKT-00174,CUST-036,Mid-Market Bank,false_positive,medium,2025-08-01,v3.1,resolved,56.6
TKT-00175,CUST-001,Tier 1 Carrier,latency,high,2025-11-20,v3.2,resolved,4.5
TKT-00176,CUST-001,Tier 1 Carrier,false_positive,high,2025-09-19,v3.2,resolved,104.0
TKT-00177,CUST-001,Tier 1 Carrier,latency,medium,2025-12-05,v3.2,resolved,98.9
TKT-00178,CUST-009,Regional Carrier,false_positive,low,2025-01-22,v3.0,closed,107.9
TKT-00179,CUST-054,Enterprise Contact Center,integration,medium,2025-04-01,v3.0,closed,9.5
TKT-00180,CUST-053,Enterprise Contact Center,availability,medium,2025-11-21,v3.2,open,66.5
TKT-00181,CUST-001,Tier 1 Carrier,false_positive,critical,2025-11-29,v3.2,resolved,108.9
TKT-00182,CUST-008,Tier 1 Carrier,false_positive,high,2025-08-16,v3.1,closed,49.2
TKT-00183,CUST-007,Tier 1 Carrier,false_positive,low,2025-10-04,v3.2,open,87.3
TKT-00184,CUST-017,Regional Carrier,latency,critical,2025-05-12,v3.1,resolved,54.7
TKT-00185,CUST-001,Tier 1 Carrier,false_positive,critical,2025-09-08,v3.2,closed,83.0
TKT-00186,CUST-030,Enterprise Bank,availability,high,2025-01-20,v3.0,closed,106.3
TKT-00187,CUST-095,Growth CPaaS,latency,medium,2025-02-24,v3.0,closed,24.9
TKT-00188,CUST-029,Enterprise Bank,integration,medium,2025-07-16,v3.1,resolved,104.5
TKT-00189,CUST-100,Growth CPaaS,integration,medium,2025-01-30,v3.0,resolved,94.3
TKT-00190,CUST-003,Tier 1 Carrier,false_positive,low,2025-10-24,v3.2,resolved,77.5
TKT-00191,CUST-007,Tier 1 Carrier,availability,low,2025-01-07,v3.0,resolved,105.8
TKT-00192,CUST-013,Regional Carrier,availability,critical,2025-03-22,v3.0,closed,47.9
TKT-00193,CUST-013,Regional Carrier,latency,critical,2025-07-27,v3.1,resolved,31.2
TKT-00194,CUST-013,Regional Carrier,false_positive,critical,2025-08-07,v3.1,resolved,10.3
TKT-00195,CUST-028,Enterprise Bank,false_positive,medium,2025-04-03,v3.0,closed,49.9
TKT-00196,CUST-009,Regional Carrier,false_positive,medium,2025-11-26,v3.2,resolved,27.2
TKT-00197,CUST-026,Enterprise Bank,availability,medium,2025-04-20,v3.0,open,66.1
TKT-00198,CUST-053,Enterprise Contact Center,integration,high,2025-06-08,v3.1,closed,3.0
TKT-00199,CUST-023,Enterprise Bank,missed_spam,medium,2025-01-08,v3.0,resolved,26.2
TKT-00200,CUST-012,Regional Carrier,integration,medium,2025-04-02,v3.0,resolved,87.3
TKT-00201,CUST-033,Mid-Market Bank,integration,high,2025-12-29,v3.2,resolved,21.5
TKT-00202,CUST-042,Mid-Market Bank,false_positive,high,2025-04-23,v3.0,closed,117.1
TKT-00203,CUST-086,Enterprise CPaaS,false_positive,medium,2025-12-28,v3.2,resolved,62.5
TKT-00204,CUST-033,Mid-Market Bank,false_positive,high,2025-08-22,v3.1,closed,68.0
TKT-00205,CUST-097,Growth CPaaS,integration,medium,2025-03-07,v3.0,resolved,21.6
TKT-00206,CUST-016,Regional Carrier,missed_spam,high,2025-01-21,v3.0,resolved,113.3
TKT-00207,CUST-008,Tier 1 Carrier,billing,high,2025-08-19,v3.1,resolved,35.2
TKT-00208,CUST-001,Tier 1 Carrier,missed_spam,medium,2025-11-14,v3.2,resolved,32.9
TKT-00209,CUST-008,Tier 1 Carrier,integration,high,2025-09-26,v3.2,resolved,41.1
TKT-00210,CUST-008,Tier 1 Carrier,billing,medium,2025-10-07,v3.2,closed,36.8
TKT-00211,CUST-063,Mid-Market Contact Center,integration,medium,2025-09-27,v3.2,closed,54.0
TKT-00212,CUST-001,Tier 1 Carrier,latency,high,2025-11-06,v3.2,resolved,88.2
TKT-00213,CUST-006,Tier 1 Carrier,false_positive,medium,2025-12-22,v3.2,resolved,107.2
TKT-00214,CUST-060,Mid-Market Contact Center,integration,medium,2025-04-28,v3.0,resolved,105.3
TKT-00215,CUST-066,Mid-Market Contact Center,latency,medium,2025-11-16,v3.2,closed,67.0
TKT-00216,CUST-001,Tier 1 Carrier,latency,medium,2025-09-25,v3.2,resolved,87.2
TKT-00217,CUST-008,Tier 1 Carrier,billing,high,2025-02-03,v3.0,resolved,72.0
TKT-00218,CUST-013,Regional Carrier,latency,medium,2025-09-26,v3.2,resolved,70.4
TKT-00219,CUST-028,Enterprise Bank,latency,low,2025-05-28,v3.1,closed,105.6
TKT-00220,CUST-001,Tier 1 Carrier,false_positive,medium,2025-12-26,v3.2,resolved,75.8
TKT-00221,CUST-038,Mid-Market Bank,missed_spam,high,2025-06-21,v3.1,resolved,46.7
TKT-00222,CUST-045,Mid-Market Bank,missed_spam,medium,2025-03-26,v3.0,closed,93.3
TKT-00223,CUST-051,Enterprise Contact Center,availability,medium,2025-05-30,v3.1,resolved,44.2
TKT-00224,CUST-088,Enterprise CPaaS,missed_spam,medium,2025-02-10,v3.0,closed,101.6
TKT-00225,CUST-002,Tier 1 Carrier,missed_spam,medium,2025-11-09,v3.2,resolved,34.5
TKT-00226,CUST-088,Enterprise CPaaS,availability,low,2025-08-20,v3.1,open,9.0
TKT-00227,CUST-007,Tier 1 Carrier,false_positive,high,2025-11-08,v3.2,open,26.6
TKT-00228,CUST-005,Tier 1 Carrier,integration,medium,2025-10-05,v3.2,closed,31.7
TKT-00229,CUST-063,Mid-Market Contact Center,latency,low,2025-05-13,v3.1,resolved,38.8
TKT-00230,CUST-093,Growth CPaaS,latency,high,2025-05-06,v3.1,resolved,7.5
TKT-00231,CUST-001,Tier 1 Carrier,false_positive,high,2025-11-15,v3.2,resolved,5.7
TKT-00232,CUST-031,Enterprise Bank,missed_spam,medium,2025-05-26,v3.1,closed,13.9
TKT-00233,CUST-005,Tier 1 Carrier,false_positive,low,2025-09-28,v3.2,closed,95.9
TKT-00234,CUST-052,Enterprise Contact Center,integration,medium,2025-01-07,v3.0,closed,25.3
TKT-00235,CUST-031,Enterprise Bank,false_positive,medium,2025-02-08,v3.0,resolved,58.3
TKT-00236,CUST-001,Tier 1 Carrier,false_positive,medium,2025-11-30,v3.2,closed,113.9
TKT-00237,CUST-001,Tier 1 Carrier,missed_spam,medium,2025-09-04,v3.2,resolved,81.7
TKT-00238,CUST-097,Growth CPaaS,integration,high,2025-03-03,v3.0,resolved,110.7
TKT-00239,CUST-001,Tier 1 Carrier,integration,high,2025-09-24,v3.2,resolved,11.5
TKT-00240,CUST-014,Regional Carrier,missed_spam,medium,2025-03-25,v3.0,closed,113.9
TKT-00241,CUST-088,Enterprise CPaaS,integration,low,2025-07-05,v3.1,resolved,109.6
TKT-00242,CUST-089,Growth CPaaS,false_positive,low,2025-12-31,v3.2,closed,110.7
TKT-00243,CUST-018,Regional Carrier,availability,medium,2025-04-27,v3.0,closed,23.8
TKT-00244,CUST-001,Tier 1 Carrier,false_positive,medium,2025-12-29,v3.2,resolved,93.3
TKT-00245,CUST-020,Regional Carrier,latency,medium,2025-06-18,v3.1,resolved,58.3
TKT-00246,CUST-048,Enterprise Contact Center,latency,critical,2025-06-04,v3.1,closed,65.4
TKT-00247,CUST-025,Enterprise Bank,availability,medium,2025-02-05,v3.0,closed,5.0
TKT-00248,CUST-049,Enterprise Contact Center,missed_spam,low,2025-08-02,v3.1,closed,84.4
TKT-00249,CUST-030,Enterprise Bank,false_positive,medium,2025-04-11,v3.0,resolved,88.8
TKT-00250,CUST-001,Tier 1 Carrier,latency,medium,2025-11-30,v3.2,closed,6.7
TKT-00251,CUST-076,Enterprise CPaaS,missed_spam,medium,2025-06-21,v3.1,resolved,31.9
TKT-00252,CUST-089,Growth CPaaS,integration,medium,2025-08-07,v3.1,closed,102.5
TKT-00253,CUST-003,Tier 1 Carrier,false_positive,medium,2025-12-29,v3.2,open,26.6
TKT-00254,CUST-047,Enterprise Contact Center,billing,critical,2025-03-08,v3.0,closed,5.2
TKT-00255,CUST-050,Enterprise Contact Center,integration,medium,2025-02-04,v3.0,resolved,68.0
TKT-00256,CUST-050,Enterprise Contact Center,integration,medium,2025-10-22,v3.2,resolved,103.1
TKT-00257,CUST-001,Tier 1 Carrier,missed_spam,high,2025-11-04,v3.2,resolved,108.9
TKT-00258,CUST-010,Regional Carrier,billing,medium,2025-12-30,v3.2,resolved,82.7
TKT-00259,CUST-081,Enterprise CPaaS,missed_spam,medium,2025-04-09,v3.0,resolved,51.2
TKT-00260,CUST-007,Tier 1 Carrier,false_positive,medium,2025-09-19,v3.2,resolved,50.5
TKT-00261,CUST-099,Growth CPaaS,billing,high,2025-06-30,v3.1,closed,14.2
TKT-00262,CUST-080,Enterprise CPaaS,availability,medium,2025-03-27,v3.0,closed,66.1
TKT-00263,CUST-070,Mid-Market Contact Center,latency,high,2025-10-01,v3.2,closed,20.6
TKT-00264,CUST-060,Mid-Market Contact Center,billing,high,2025-03-17,v3.0,resolved,25.4
TKT-00265,CUST-093,Growth CPaaS,integration,medium,2025-05-14,v3.1,resolved,65.1
TKT-00266,CUST-020,Regional Carrier,latency,high,2025-08-27,v3.1,closed,30.6
TKT-00267,CUST-071,Mid-Market Contact Center,false_positive,low,2025-11-12,v3.2,closed,72.9
TKT-00268,CUST-036,Mid-Market Bank,missed_spam,medium,2025-01-19,v3.0,resolved,3.5
TKT-00269,CUST-041,Mid-Market Bank,billing,medium,2025-11-07,v3.2,closed,85.1
TKT-00270,CUST-077,Enterprise CPaaS,false_positive,critical,2025-04-10,v3.0,resolved,39.8
TKT-00271,CUST-016,Regional Carrier,availability,high,2025-03-17,v3.0,open,82.4
TKT-00272,CUST-060,Mid-Market Contact Center,integration,low,2025-11-06,v3.2,resolved,111.2
TKT-00273,CUST-072,Mid-Market Contact Center,availability,high,2025-08-24,v3.1,resolved,36.8
TKT-00274,CUST-001,Tier 1 Carrier,integration,high,2025-12-06,v3.2,closed,33.9
TKT-00275,CUST-005,Tier 1 Carrier,false_positive,medium,2025-12-22,v3.2,closed,113.3
TKT-00276,CUST-001,Tier 1 Carrier,false_positive,medium,2025-10-24,v3.2,resolved,17.8
TKT-00277,CUST-007,Tier 1 Carrier,missed_spam,high,2025-04-11,v3.0,resolved,84.4
TKT-00278,CUST-082,Enterprise CPaaS,missed_spam,high,2025-01-14,v3.0,resolved,74.8
TKT-00279,CUST-031,Enterprise Bank,missed_spam,medium,2025-07-10,v3.1,resolved,5.9
TKT-00280,CUST-041,Mid-Market Bank,latency,high,2025-03-18,v3.0,resolved,83.0
