call_id,customer_id,call_date,carrier,country,call_category,predicted_category,confidence,actual_category,latency_ms,blocked,model_version
CALL-000018,CUST-062,2025-10-24,Northstar Mobile,Canada,fraud,fraud,0.951,fraud,92,true,v3.2
CALL-000019,CUST-076,2025-10-31,multi-carrier,Australia,legitimate,legitimate,0.86,legitimate,133,false,v3.2
CALL-000020,CUST-007,2025-12-13,Fairway Financial,United States,fraud,fraud,0.809,fraud,93,true,v3.2
CALL-000021,CUST-054,2025-03-09,Alder Telecom,Netherlands,robocall,robocall,0.776,robocall,115,true,v3.0
CALL-000022,CUST-099,2025-08-23,Alder Telecom,Spain,fraud,fraud,0.902,fraud,158,true,v3.1
CALL-000023,CUST-036,2025-10-29,Northstar Mobile,Netherlands,fraud,robocall,0.902,fraud,178,true,v3.2
CALL-000024,CUST-054,2025-08-08,Alder Telecom,Netherlands,legitimate,legitimate,0.993,legitimate,172,false,v3.1
CALL-000025,CUST-056,2025-12-07,Northstar Mobile,Australia,legitimate,legitimate,0.803,legitimate,156,false,v3.2
CALL-000026,CUST-062,2025-08-19,Northstar Mobile,Canada,fraud,fraud,0.852,fraud,60,true,v3.1
CALL-000027,CUST-022,2025-03-26,Alder Telecom,Canada,spam,spam,0.925,spam,100,true,v3.0
CALL-000028,CUST-054,2025-03-10,Alder Telecom,Netherlands,legitimate,legitimate,0.966,legitimate,101,false,v3.0
CALL-000029,CUST-092,2025-01-28,Alder Telecom,United States,robocall,legitimate,0.572,robocall,105,false,v3.0
CALL-000030,CUST-012,2025-08-01,Keystone Telecom,France,legitimate,legitimate,0.956,legitimate,178,false,v3.1
CALL-000031,CUST-022,2025-04-04,Alder Telecom,Canada,spam,spam,0.946,spam,96,true,v3.0
CALL-000032,CUST-022,2025-04-12,Alder Telecom,Canada,legitimate,legitimate,0.884,legitimate,93,false,v3.0
CALL-000033,CUST-027,2025-11-08,Alder Telecom,Germany,legitimate,legitimate,0.963,legitimate,198,false,v3.2
CALL-000034,CUST-053,2025-04-11,Northstar Mobile,Australia,legitimate,legitimate,0.863,legitimate,123,false,v3.0
CALL-000035,CUST-012,2025-06-03,Keystone Telecom,France,legitimate,legitimate,0.968,legitimate,127,false,v3.1
CALL-000036,CUST-009,2025-11-02,Harbor CX,France,legitimate,legitimate,0.807,legitimate,193,false,v3.2
CALL-000037,CUST-098,2025-10-24,Bluepeak Mobile,Canada,legitimate,legitimate,0.892,legitimate,75,false,v3.2
CALL-000038,CUST-022,2025-05-12,Alder Telecom,Canada,spam,spam,0.945,spam,67,true,v3.1
CALL-000039,CUST-003,2025-07-29,Bluepeak Bank,Netherlands,legitimate,legitimate,0.806,legitimate,185,false,v3.1
CALL-000040,CUST-054,2025-03-23,Alder Telecom,Netherlands,legitimate,legitimate,0.807,legitimate,95,false,v3.0
CALL-000041,CUST-029,2025-09-13,multi-carrier,United States,spam,spam,0.813,spam,81,true,v3.2
CALL-000042,CUST-031,2025-04-02,Northstar Mobile,Australia,legitimate,legitimate,0.855,legitimate,130,false,v3.0
CALL-000043,CUST-100,2025-04-02,Northstar Mobile,United States,legitimate,legitimate,0.803,legitimate,35,false,v3.0
CALL-000044,CUST-069,2025-11-24,Northstar Mobile,Spain,legitimate,legitimate,0.868,legitimate,199,false,v3.2
CALL-000045,CUST-001,2025-08-21,Northstar Mobile,United States,legitimate,legitimate,0.899,legitimate,72,false,v3.1
CALL-000046,CUST-090,2025-07-07,Northstar Mobile,Spain,legitimate,legitimate,0.85,legitimate,122,false,v3.1
CALL-000047,CUST-035,2025-10-09,multi-carrier,United States,spam,spam,0.767,spam,83,true,v3.2
CALL-000048,CUST-050,2025-11-08,Alder Telecom,Canada,legitimate,legitimate,0.951,legitimate,102,false,v3.2
CALL-000049,CUST-049,2025-02-07,Bluepeak Mobile,United States,legitimate,legitimate,0.887,legitimate,88,false,v3.0
CALL-000050,CUST-029,2025-03-21,multi-carrier,United States,legitimate,legitimate,0.901,legitimate,58,false,v3.0
CALL-000051,CUST-006,2025-06-09,Everfield Connect,Ireland,legitimate,legitimate,0.904,legitimate,92,false,v3.1
CALL-000052,CUST-036,2025-07-11,Northstar Mobile,Netherlands,spam,legitimate,0.576,spam,99,false,v3.1
CALL-000053,CUST-049,2025-05-07,Bluepeak Mobile,United States,spam,spam,0.943,spam,100,true,v3.1
CALL-000054,CUST-052,2025-12-05,Alder Telecom,Canada,legitimate,legitimate,0.868,legitimate,60,false,v3.2
CALL-000055,CUST-006,2025-12-10,Everfield Connect,Ireland,legitimate,legitimate,0.95,legitimate,173,false,v3.2
CALL-000056,CUST-021,2025-08-14,Northstar Mobile,Netherlands,legitimate,legitimate,0.912,legitimate,179,false,v3.1
CALL-000057,CUST-072,2025-05-18,Bluepeak Mobile,France,legitimate,legitimate,0.979,legitimate,112,false,v3.1
CALL-000058,CUST-031,2025-09-08,Northstar Mobile,Australia,legitimate,legitimate,0.936,legitimate,107,false,v3.2
CALL-000059,CUST-009,2025-02-22,Harbor CX,France,robocall,legitimate,0.672,robocall,130,false,v3.0
CALL-000060,CUST-072,2025-08-29,Bluepeak Mobile,France,legitimate,legitimate,0.977,legitimate,189,false,v3.1
CALL-000061,CUST-081,2025-04-17,Bluepeak Mobile,Netherlands,spam,legitimate,0.688,spam,96,false,v3.0
CALL-000062,CUST-001,2025-07-07,Northstar Mobile,United States,legitimate,legitimate,0.802,legitimate,51,false,v3.1
CALL-000063,CUST-007,2025-10-13,Fairway Financial,United States,fraud,legitimate,0.522,fraud,71,false,v3.2
CALL-000064,CUST-093,2025-10-07,Alder Telecom,Netherlands,legitimate,legitimate,0.869,legitimate,180,false,v3.2
CALL-000065,CUST-079,2025-12-23,multi-carrier,Canada,legitimate,legitimate,0.911,legitimate,142,false,v3.2
CALL-000066,CUST-078,2025-10-24,Bluepeak Mobile,Ireland,spam,spam,0.953,spam,188,true,v3.2
CALL-000067,CUST-024,2025-07-20,Bluepeak Mobile,Ireland,legitimate,legitimate,0.802,legitimate,136,false,v3.1
CALL-000068,CUST-006,2025-04-10,Everfield Connect,Ireland,spam,spam,0.824,spam,85,true,v3.0
CALL-000069,CUST-085,2025-02-19,multi-carrier,Australia,robocall,legitimate,0.756,robocall,144,false,v3.0
CALL-000070,CUST-017,2025-09-26,Pioneer CX,United States,legitimate,legitimate,0.82,legitimate,83,false,v3.2
CALL-000071,CUST-041,2025-07-09,Alder Telecom,Australia,legitimate,legitimate,0.882,legitimate,131,false,v3.1
CALL-000072,CUST-043,2025-12-28,Bluepeak Mobile,Canada,spam,spam,0.804,spam,58,true,v3.2
CALL-000073,CUST-005,2025-10-25,Driftwood Voice,United States,legitimate,legitimate,0.838,legitimate,87,false,v3.2
CALL-000074,CUST-079,2025-12-04,multi-carrier,Canada,legitimate,legitimate,0.923,legitimate,92,false,v3.2
CALL-000075,CUST-085,2025-08-02,multi-carrier,Australia,robocall,robocall,0.98,robocall,113,true,v3.1
CALL-000076,CUST-099,2025-05-17,Alder Telecom,Spain,legitimate,legitimate,0.859,legitimate,136,false,v3.1
CALL-000077,CUST-076,2025-11-10,multi-carrier,Australia,legitimate,legitimate,0.992,legitimate,98,false,v3.2
CALL-000078,CUST-086,2025-12-21,Bluepeak Mobile,Canada,fraud,fraud,0.826,fraud,61,true,v3.2
CALL-000079,CUST-090,2025-08-28,Northstar Mobile,Spain,robocall,spam,0.876,robocall,173,true,v3.1
CALL-000080,CUST-007,2025-12-11,Fairway Financial,United States,spam,spam,0.965,spam,89,true,v3.2
CALL-000081,CUST-066,2025-08-07,Northstar Mobile,Germany,legitimate,legitimate,0.812,legitimate,181,false,v3.1
CALL-000082,CUST-046,2025-01-23,Northstar Mobile,Australia,spam,spam,0.803,spam,136,true,v3.0
CALL-000083,CUST-085,2025-08-25,multi-carrier,Australia,legitimate,legitimate,0.905,legitimate,111,false,v3.1
CALL-000084,CUST-048,2025-06-08,multi-carrier,France,spam,spam,0.901,spam,96,true,v3.1
CALL-000085,CUST-092,2025-06-16,Alder Telecom,United States,legitimate,legitimate,0.893,legitimate,71,false,v3.1
CALL-000086,CUST-007,2025-04-08,Fairway Financial,United States,legitimate,legitimate,0.885,legitimate,103,false,v3.0
CALL-000087,CUST-011,2025-08-05,Juniper Bank,United States,legitimate,legitimate,0.851,legitimate,71,false,v3.1
CALL-000088,CUST-001,2025-06-14,Northstar Mobile,United States,legitimate,legitimate,0.964,legitimate,105,false,v3.1
CALL-000089,CUST-002,2025-12-16,Alder Cloud,Canada,legitimate,legitimate,0.82,legitimate,91,false,v3.2
CALL-000090,CUST-086,2025-08-23,Bluepeak Mobile,Canada,legitimate,legitimate,0.843,legitimate,91,false,v3.1
CALL-000091,CUST-078,2025-02-22,Bluepeak Mobile,Ireland,fraud,fraud,0.859,fraud,120,true,v3.0
CALL-000092,CUST-045,2025-01-04,multi-carrier,France,legitimate,robocall,0.642,legitimate,137,false,v3.0
CALL-000093,CUST-007,2025-07-23,Fairway Financial,United States,fraud,fraud,0.981,fraud,115,true,v3.1
CALL-000094,CUST-047,2025-11-18,Bluepeak Mobile,United States,spam,spam,0.938,spam,61,true,v3.2
CALL-000095,CUST-051,2025-10-17,Bluepeak Mobile,Ireland,legitimate,legitimate,0.851,legitimate,177,false,v3.2
CALL-000096,CUST-064,2025-07-13,multi-carrier,Australia,legitimate,legitimate,0.879,legitimate,126,false,v3.1
CALL-000097,CUST-026,2025-11-12,Alder Telecom,Canada,legitimate,legitimate,0.9,legitimate,83,false,v3.2
CALL-000098,CUST-090,2025-06-24,Northstar Mobile,Spain,legitimate,legitimate,0.986,legitimate,124,false,v3.1
CALL-000099,CUST-030,2025-02-04,multi-carrier,Spain,spam,spam,0.916,spam,101,true,v3.0
CALL-000100,CUST-056,2025-06-12,Northstar Mobile,Australia,robocall,robocall,0.938,robocall,98,true,v3.1
CALL-000101,CUST-051,2025-02-28,Bluepeak Mobile,Ireland,legitimate,legitimate,0.894,legitimate,87,false,v3.0
CALL-000102,CUST-003,2025-04-16,Bluepeak Bank,Netherlands,spam,robocall,0.908,spam,89,true,v3.0
CALL-000103,CUST-063,2025-06-17,Northstar Mobile,France,legitimate,legitimate,0.846,legitimate,128,false,v3.1
CALL-000104,CUST-017,2025-09-08,Pioneer CX,United States,legitimate,legitimate,0.909,legitimate,75,false,v3.2
CALL-000105,CUST-083,2025-11-13,Alder Telecom,Canada,legitimate,legitimate,0.968,legitimate,86,false,v3.2
CALL-000106,CUST-054,2025-04-18,Alder Telecom,Netherlands,spam,fraud,0.779,spam,92,true,v3.0
CALL-000107,CUST-084,2025-01-27,Bluepeak Mobile,Germany,legitimate,legitimate,0.833,legitimate,129,false,v3.0
CALL-000108,CUST-085,2025-01-30,multi-carrier,Australia,legitimate,legitimate,0.937,legitimate,119,false,v3.0
CALL-000109,CUST-008,2025-09-30,Granite Mobile,United States,legitimate,legitimate,0.819,legitimate,95,false,v3.2
CALL-000110,CUST-077,2025-05-05,Alder Telecom,Australia,spam,spam,0.975,spam,126,true,v3.1
CALL-000111,CUST-039,2025-12-25,Northstar Mobile,Ireland,legitimate,legitimate,0.935,legitimate,213,false,v3.2
CALL-000112,CUST-003,2025-12-27,Bluepeak Bank,Netherlands,spam,robocall,0.76,spam,169,true,v3.2
CALL-000113,CUST-076,2025-01-02,multi-carrier,Australia,legitimate,legitimate,0.885,legitimate,151,false,v3.0
CALL-000114,CUST-029,2025-01-13,multi-carrier,United States,robocall,robocall,0.764,robocall,75,true,v3.0
CALL-000115,CUST-055,2025-05-14,Bluepeak Mobile,Australia,legitimate,legitimate,0.958,legitimate,99,false,v3.1
CALL-000116,CUST-072,2025-02-21,Bluepeak Mobile,France,legitimate,legitimate,0.834,legitimate,119,false,v3.0
CALL-000117,CUST-055,2025-10-21,Bluepeak Mobile,Australia,legitimate,legitimate,0.869,legitimate,111,false,v3.2
CALL-000118,CUST-028,2025-12-17,Northstar Mobile,United States,legitimate,legitimate,0.837,legitimate,77,false,v3.2
CALL-000119,CUST-081,2025-06-29,Bluepeak Mobile,Netherlands,legitimate,legitimate,0.871,legitimate,82,false,v3.1
CALL-000120,CUST-095,2025-03-07,Alder Telecom,Australia,spam,spam,0.891,spam,95,true,v3.0
CALL-000121,CUST-087,2025-07-29,Northstar Mobile,Ireland,spam,spam,0.865,spam,185,true,v3.1
CALL-000122,CUST-018,2025-07-13,Quartz Cloud,Germany,legitimate,legitimate,0.953,legitimate,99,false,v3.1
CALL-000123,CUST-024,2025-12-02,Bluepeak Mobile,Ireland,fraud,fraud,0.785,fraud,179,true,v3.2
CALL-000124,CUST-070,2025-03-06,Northstar Mobile,Australia,legitimate,legitimate,0.859,legitimate,108,false,v3.0
CALL-000125,CUST-082,2025-04-30,Bluepeak Mobile,United States,legitimate,legitimate,0.973,legitimate,85,false,v3.0
CALL-000126,CUST-025,2025-01-26,Northstar Mobile,United States,legitimate,legitimate,0.881,legitimate,94,false,v3.0
CALL-000127,CUST-076,2025-09-05,multi-carrier,Australia,legitimate,legitimate,0.818,legitimate,105,false,v3.2
CALL-000128,CUST-086,2025-08-10,Bluepeak Mobile,Canada,legitimate,legitimate,0.943,legitimate,104,false,v3.1
CALL-000129,CUST-081,2025-12-20,Bluepeak Mobile,Netherlands,spam,spam,0.988,spam,195,true,v3.2
CALL-000130,CUST-055,2025-04-19,Bluepeak Mobile,Australia,fraud,fraud,0.977,fraud,112,true,v3.0
CALL-000131,CUST-054,2025-10-17,Alder Telecom,Netherlands,legitimate,legitimate,0.847,legitimate,182,false,v3.2
CALL-000132,CUST-038,2025-05-17,multi-carrier,Canada,legitimate,legitimate,0.953,legitimate,108,false,v3.1
CALL-000133,CUST-047,2025-01-01,Bluepeak Mobile,United States,legitimate,legitimate,0.984,legitimate,83,false,v3.0
CALL-000134,CUST-005,2025-03-02,Driftwood Voice,United States,legitimate,legitimate,0.884,legitimate,72,false,v3.0
CALL-000135,CUST-084,2025-11-10,Bluepeak Mobile,Germany,spam,spam,0.92,spam,183,true,v3.2
CALL-000136,CUST-067,2025-09-08,Northstar Mobile,Australia,legitimate,legitimate,0.992,legitimate,129,false,v3.2
CALL-000137,CUST-055,2025-08-31,Bluepeak Mobile,Australia,fraud,legitimate,0.704,fraud,121,false,v3.1
CALL-000138,CUST-018,2025-12-05,Quartz Cloud,Germany,legitimate,legitimate,0.829,legitimate,197,false,v3.2
CALL-000139,CUST-096,2025-01-22,Northstar Mobile,Netherlands,spam,spam,0.961,spam,121,true,v3.0
CALL-000140,CUST-094,2025-01-16,Alder Telecom,Australia,legitimate,legitimate,0.861,legitimate,125,false,v3.0
CALL-000141,CUST-066,2025-11-08,Northstar Mobile,Germany,fraud,fraud,0.849,fraud,200,true,v3.2
CALL-000142,CUST-044,2025-04-30,multi-carrier,Australia,legitimate,legitimate,0.919,legitimate,124,false,v3.0
CALL-000143,CUST-004,2025-10-12,Cinder Telecom,Australia,spam,spam,0.79,spam,106,true,v3.2
CALL-000144,CUST-041,2025-01-06,Alder Telecom,Australia,spam,spam,0.912,spam,123,true,v3.0
CALL-000145,CUST-018,2025-04-09,Quartz Cloud,Germany,spam,spam,0.921,spam,105,true,v3.0
CALL-000146,CUST-085,2025-03-09,multi-carrier,Australia,robocall,robocall,0.937,robocall,127,true,v3.0
CALL-000147,CUST-046,2025-04-19,Northstar Mobile,Australia,legitimate,legitimate,0.821,legitimate,110,false,v3.0
CALL-000148,CUST-061,2025-04-17,multi-carrier,United States,legitimate,legitimate,0.836,legitimate,59,false,v3.0
CALL-000149,CUST-021,2025-09-22,Northstar Mobile,Netherlands,legitimate,legitimate,0.96,legitimate,193,false,v3.2
CALL-000150,CUST-092,2025-09-03,Alder Telecom,United States,legitimate,legitimate,0.918,legitimate,95,false,v3.2
CALL-000151,CUST-056,2025-09-09,Northstar Mobile,Australia,legitimate,legitimate,0.905,legitimate,103,false,v3.2
CALL-000152,CUST-061,2025-05-06,multi-carrier,United States,spam,spam,0.793,spam,76,true,v3.1
CALL-000153,CUST-032,2025-03-31,Bluepeak Mobile,United States,fraud,legitimate,0.593,fraud,91,false,v3.0
CALL-000154,CUST-024,2025-02-01,Bluepeak Mobile,Ireland,legitimate,legitimate,0.832,legitimate,95,false,v3.0
CALL-000155,CUST-079,2025-10-14,multi-carrier,Canada,legitimate,legitimate,0.908,legitimate,103,false,v3.2
CALL-000156,CUST-002,2025-07-05,Alder Cloud,Canada,spam,spam,0.974,spam,62,true,v3.1
CALL-000157,CUST-054,2025-05-19,Alder Telecom,Netherlands,legitimate,legitimate,0.92,legitimate,117,false,v3.1
CALL-000158,CUST-010,2025-12-20,Ironwood Cloud,Canada,legitimate,legitimate,0.969,legitimate,92,false,v3.2
CALL-000159,CUST-004,2025-11-19,Cinder Telecom,Australia,legitimate,fraud,0.76,legitimate,105,true,v3.2
CALL-000160,CUST-083,2025-10-06,Alder Telecom,Canada,spam,spam,0.943,spam,93,true,v3.2
CALL-000161,CUST-086,2025-03-27,Bluepeak Mobile,Canada,spam,spam,0.854,spam,93,true,v3.0
CALL-000162,CUST-091,2025-11-20,multi-carrier,Australia,legitimate,legitimate,0.866,legitimate,133,false,v3.2
CALL-000163,CUST-032,2025-09-24,Bluepeak Mobile,United States,spam,spam,0.779,spam,113,true,v3.2
CALL-000164,CUST-063,2025-01-11,Northstar Mobile,France,spam,legitimate,0.563,spam,95,false,v3.0
CALL-000165,CUST-029,2025-06-22,multi-carrier,United States,legitimate,legitimate,0.987,legitimate,74,false,v3.1
CALL-000166,CUST-039,2025-10-21,Northstar Mobile,Ireland,legitimate,legitimate,0.968,legitimate,135,false,v3.2
CALL-000167,CUST-089,2025-01-12,Bluepeak Mobile,Australia,fraud,fraud,0.799,fraud,102,true,v3.0
CALL-000168,CUST-076,2025-03-31,multi-carrier,Australia,legitimate,legitimate,0.853,legitimate,109,false,v3.0
CALL-000169,CUST-006,2025-03-21,Everfield Connect,Ireland,legitimate,legitimate,0.826,legitimate,96,false,v3.0
CALL-000170,CUST-012,2025-06-14,Keystone Telecom,France,legitimate,legitimate,0.909,legitimate,89,false,v3.1
CALL-000171,CUST-085,2025-01-29,multi-carrier,Australia,legitimate,legitimate,0.824,legitimate,120,false,v3.0
CALL-000172,CUST-053,2025-03-25,Northstar Mobile,Australia,robocall,robocall,0.931,robocall,123,true,v3.0
CALL-000173,CUST-076,2025-08-04,multi-carrier,Australia,robocall,legitimate,0.628,robocall,122,false,v3.1
CALL-000174,CUST-083,2025-06-10,Alder Telecom,Canada,robocall,robocall,0.863,robocall,107,true,v3.1
CALL-000175,CUST-008,2025-08-15,Granite Mobile,United States,spam,legitimate,0.722,spam,83,false,v3.1
CALL-000176,CUST-070,2025-11-11,Northstar Mobile,Australia,legitimate,legitimate,0.917,legitimate,142,false,v3.2
CALL-000177,CUST-096,2025-06-16,Northstar Mobile,Netherlands,spam,legitimate,0.711,spam,108,false,v3.1
CALL-000178,CUST-083,2025-03-25,Alder Telecom,Canada,legitimate,legitimate,0.972,legitimate,91,false,v3.0
CALL-000179,CUST-007,2025-01-01,Fairway Financial,United States,legitimate,legitimate,0.963,legitimate,64,false,v3.0
CALL-000180,CUST-032,2025-12-04,Bluepeak Mobile,United States,fraud,legitimate,0.724,fraud,62,false,v3.2
CALL-000181,CUST-025,2025-06-02,Northstar Mobile,United States,legitimate,legitimate,0.989,legitimate,86,false,v3.1
CALL-000182,CUST-050,2025-06-07,Alder Telecom,Canada,robocall,robocall,0.869,robocall,94,true,v3.1
CALL-000183,CUST-022,2025-10-30,Alder Telecom,Canada,robocall,robocall,0.801,robocall,90,true,v3.2
CALL-000184,CUST-044,2025-10-23,multi-carrier,Australia,spam,spam,0.8,spam,148,true,v3.2
CALL-000185,CUST-007,2025-12-07,Fairway Financial,United States,robocall,robocall,0.867,robocall,85,true,v3.2
CALL-000186,CUST-006,2025-04-14,Everfield Connect,Ireland,legitimate,legitimate,0.884,legitimate,104,false,v3.0
CALL-000187,CUST-053,2025-08-20,Northstar Mobile,Australia,robocall,robocall,0.899,robocall,126,true,v3.1
CALL-000188,CUST-010,2025-08-21,Ironwood Cloud,Canada,legitimate,legitimate,0.967,legitimate,91,false,v3.1
CALL-000189,CUST-076,2025-11-26,multi-carrier,Australia,robocall,spam,0.856,robocall,149,true,v3.2
CALL-000190,CUST-089,2025-10-14,Bluepeak Mobile,Australia,spam,spam,0.811,spam,125,true,v3.2
CALL-000191,CUST-064,2025-02-11,multi-carrier,Australia,robocall,robocall,0.983,robocall,126,true,v3.0
CALL-000192,CUST-001,2025-06-15,Northstar Mobile,United States,legitimate,legitimate,0.908,legitimate,71,false,v3.1
CALL-000193,CUST-027,2025-09-14,Alder Telecom,Germany,legitimate,legitimate,0.817,legitimate,195,false,v3.2
CALL-000194,CUST-021,2025-10-02,Northstar Mobile,Netherlands,legitimate,legitimate,0.891,legitimate,178,false,v3.2
CALL-000195,CUST-095,2025-11-19,Alder Telecom,Australia,legitimate,legitimate,0.99,legitimate,124,false,v3.2
CALL-000196,CUST-013,2025-06-24,Lighthouse Voice,United States,spam,spam,0.908,spam,78,true,v3.1
CALL-000197,CUST-035,2025-09-28,multi-carrier,United States,legitimate,legitimate,0.919,legitimate,90,false,v3.2
CALL-000198,CUST-091,2025-06-17,multi-carrier,Australia,robocall,legitimate,0.582,robocall,123,false,v3.1
CALL-000199,CUST-007,2025-11-27,Fairway Financial,United States,spam,spam,0.859,spam,69,true,v3.2
CALL-000200,CUST-008,2025-07-10,Granite Mobile,United States,legitimate,legitimate,0.88,legitimate,54,false,v3.1
CALL-000201,CUST-027,2025-08-24,Alder Telecom,Germany,spam,spam,0.979,spam,197,true,v3.1
CALL-000202,CUST-078,2025-03-22,Bluepeak Mobile,Ireland,legitimate,legitimate,0.825,legitimate,98,false,v3.0
CALL-000203,CUST-076,2025-09-07,multi-carrier,Australia,legitimate,legitimate,0.812,legitimate,143,false,v3.2
CALL-000204,CUST-005,2025-04-10,Driftwood Voice,United States,legitimate,legitimate,0.862,legitimate,83,false,v3.0
CALL-000205,CUST-068,2025-12-21,Northstar Mobile,Canada,robocall,robocall,0.901,robocall,74,true,v3.2
CALL-000206,CUST-082,2025-09-29,Bluepeak Mobile,United States,spam,robocall,0.95,spam,78,true,v3.2
CALL-000207,CUST-076,2025-03-13,multi-carrier,Australia,legitimate,legitimate,0.866,legitimate,105,false,v3.0
CALL-000208,CUST-031,2025-01-06,Northstar Mobile,Australia,legitimate,legitimate,0.902,legitimate,126,false,v3.0
CALL-000209,CUST-044,2025-02-14,multi-carrier,Australia,legitimate,legitimate,0.845,legitimate,126,false,v3.0
CALL-000210,CUST-035,2025-08-13,multi-carrier,United States,legitimate,legitimate,0.822,legitimate,107,false,v3.1
CALL-000211,CUST-001,2025-02-12,Northstar Mobile,United States,legitimate,legitimate,0.841,legitimate,53,false,v3.0
CALL-000212,CUST-032,2025-11-29,Bluepeak Mobile,United States,legitimate,legitimate,0.885,legitimate,65,false,v3.2
CALL-000213,CUST-056,2025-09-14,Northstar Mobile,Australia,spam,spam,0.919,spam,100,true,v3.2
CALL-000214,CUST-055,2025-08-13,Bluepeak Mobile,Australia,legitimate,legitimate,0.908,legitimate,114,false,v3.1
CALL-000215,CUST-092,2025-04-11,Alder Telecom,United States,legitimate,legitimate,0.836,legitimate,113,false,v3.0
CALL-000216,CUST-029,2025-04-24,multi-carrier,United States,spam,spam,0.882,spam,89,true,v3.0
CALL-000217,CUST-031,2025-11-20,Northstar Mobile,Australia,legitimate,legitimate,0.816,legitimate,120,false,v3.2
CALL-000218,CUST-090,2025-09-15,Northstar Mobile,Spain,legitimate,legitimate,0.87,legitimate,186,false,v3.2
CALL-000219,CUST-028,2025-07-22,Northstar Mobile,United States,legitimate,legitimate,0.841,legitimate,81,false,v3.1
CALL-000220,CUST-003,2025-08-24,Bluepeak Bank,Netherlands,spam,spam,0.99,spam,166,true,v3.1
CALL-000221,CUST-056,2025-10-03,Northstar Mobile,Australia,robocall,robocall,0.787,robocall,90,true,v3.2
CALL-000222,CUST-024,2025-01-07,Bluepeak Mobile,Ireland,robocall,robocall,0.897,robocall,84,true,v3.0
CALL-000223,CUST-091,2025-03-06,multi-carrier,Australia,spam,legitimate,0.739,spam,144,false,v3.0
CALL-000224,CUST-053,2025-06-17,Northstar Mobile,Australia,legitimate,legitimate,0.975,legitimate,111,false,v3.1
CALL-000225,CUST-013,2025-06-06,Lighthouse Voice,United States,robocall,robocall,0.98,robocall,62,true,v3.1
CALL-000226,CUST-047,2025-02-14,Bluepeak Mobile,United States,fraud,fraud,0.821,fraud,84,true,v3.0
CALL-000227,CUST-003,2025-02-11,Bluepeak Bank,Netherlands,legitimate,legitimate,0.841,legitimate,91,false,v3.0
CALL-000228,CUST-021,2025-03-27,Northstar Mobile,Netherlands,spam,spam,0.788,spam,92,true,v3.0
CALL-000229,CUST-079,2025-10-08,multi-carrier,Canada,robocall,robocall,0.918,robocall,113,true,v3.2
CALL-000230,CUST-003,2025-01-25,Bluepeak Bank,Netherlands,legitimate,legitimate,0.845,legitimate,101,false,v3.0
CALL-000231,CUST-035,2025-11-06,multi-carrier,United States,spam,spam,0.927,spam,96,true,v3.2
CALL-000232,CUST-087,2025-04-06,Northstar Mobile,Ireland,legitimate,legitimate,0.987,legitimate,119,false,v3.0
CALL-000233,CUST-045,2025-02-09,multi-carrier,France,spam,spam,0.942,spam,108,true,v3.0
CALL-000234,CUST-084,2025-06-03,Bluepeak Mobile,Germany,legitimate,legitimate,0.84,legitimate,78,false,v3.1
CALL-000235,CUST-083,2025-09-08,Alder Telecom,Canada,fraud,fraud,0.867,fraud,81,true,v3.2
